ticker,company_name,isin,market_cap_usd_m,sales_usd_m
4716,Oracle Corp Japan,JP3689500001,7708.03,1619.32
ORA,Orange,FR0000133308,27362.6,47710.13
4661,Oriental Land Co Ltd,JP3198900007,51900.86,4095.55
8591,Orix Corp,JP3200450009,21182.87,18310.71
PANW,Palo Alto Networks Inc,US6974351057,47633.69,8027.5
7532,Pan Pacific International Ho,JP3639650005,9575.18,13873.24
PNDORA,Pandora A/S,DK0060252690,6413.32,4083.35
PNR,Pentair Plc,IE00BLS09M33,8165.78,4104.5
RI,Pernod Ricard Sa,FR0000120693,49169.83,12610.52
PST,Poste Italiane Spa,IT0003796171,10738.7,21777.85
PRX,Prosus Nv,NL0013654783,138129.03,5482.53
QBE,Qbe Insurance Group Ltd,AU000000QBE9,12057.07,21649.68
4755,Rakuten Group Inc,JP3967200001,7343.32,14733.32
REA,Rea Group Ltd,AU000000REA9,11136.53,1111.67
RKT,Reckitt Benckiser Group Plc,GB00B24CGK77,56378.31,18160.59
REC,Recordati Industria Chimica,IT0003828271,8929.31,2251.67
6098,Recruit Holdings Co Ltd,JP3970300004,57695.38,22623.42
REL,Relx Plc,GB00B2B0DG97,54487.38,11389.69
REP,Repsol Sa,ES0173516115,18410.46,63741.83
RSG,Republic Services Inc,US7607591002,41994.54,14964.5
RHM,Rheinmetall Ag,DE0007030009,8093.77,7759.57
RIO,Rio Tinto Plc,GB0007188757,71965.45,54050.93
ROG,Roche Holding Ag-Genusschein,CH0012032048,280786.93,65364.32
ROK,Rockwell Automation Inc,US7739031091,27956.26,9052.0
ROCKB,Rockwool A/S-B Shs,DK0010219153,4792.1,3914.37
RR/,Rolls-Royce Holdings Plc,GB00B63H8491,8795.59,20496.72
SAF.FP,Safran Sa,FR0000073272,44942.69,25574.37
SGE,Sage Group Plc/The,GB00B8C3BL03,8425.36,2715.32
SBRY,Sainsbury (J) Plc,GB00B019KW72,6133.05,41807.62
CRM,Salesforce Inc,US79466L3024,179398.5,34857.0
SAP,Sap Se,DE0007164600,110467.89,33744.85
SCHP,Schindler Holding-Part Cert,CH0024638196,19307.22,12795.45
SU.FP,Schneider Electric Se,FR0000121972,73113.79,38821.66
SCHN,Schnitzer Steel Inds Inc-A,US8068821060,954.33,2882.22
G24,Scout24 Se,DE000A12DM80,4488.5,550.52
1928,Sekisui House Ltd,JP3420600003,12035.27,20575.62
SHEL,Shell Plc-New,GB00BP6MXD84,187142.34,301865.44
SIE.GR,Siemens Ag-Reg,DE0007236101,89912.54,84093.41
ENR.GR,Siemens Energy Ag,DE000ENER6Y0,10953.8,33649.69
SHL,Siemens Healthineers Ag,DE000SHL1006,56097.85,23443.08
SIKA,Sika Ag,CH0418792922,34864.71,12511.13
1308,Sitc International Holdings,KYG8187G1055,9175.74,2428.97
660,Sk Hynix Inc,KR7000660001,55433.06,25076.01
SRG,Snam Spa,IT0003153415,16632.63,4589.13
SNOW,Snowflake Inc-Class A,US8334451098,44947.53,2806.49
GLE,Societe Generale Sa,FR0000130809,18045.42,90471.05
9434,Softbank Corp,JP3732000009,53721.34,40287.22
9984,Softbank Group Corp,JP3436100006,71390.72,44740.38
6758,Sony Group Corp,JP3435000009,107115.02,86221.29
SFM,Sprouts Farmers Market Inc,US85208M1027,2998.18,6837.38
SSE,Sse Plc,GB0007908733,22858.18,13369.74
STLAM,Stellantis Nv,NL00150001Q9,41140.18,204958.29
STMPA,Stmicroelectronics Nv,NL0000226223,32249.01,17289.32
8053,Sumitomo Corp,JP3404600003,17037.88,45839.38
SWECB,Sweco Ab-B Shs,SE0014960373,3684.22,2688.09
SNPS,Synopsys Inc,US8716071076,54081.1,5852.56
8795,T&D Holdings Inc,JP3539220008,6551.83,14482.18
TSM,Taiwan Semiconductor Manufac,TW0002330008,434778.5,69359.57
4502,Takeda Pharmaceutical Co Ltd,JP3463000004,45932.03,28233.9
6762,Tdk Corp,JP3538800008,11923.0,13931.51
669,Techtronic Industries Co Ltd,HK0669013440,20755.78,13731.5
TEL2B,Tele2 Ab-B Shs,SE0005190238,7740.24,2742.38
700,Tencent Holdings Ltd,KYG875721634,392780.2,85958.54
TRN,Terna-Rete Elettrica Naziona,IT0003242622,14922.98,3376.76
4543,Terumo Corp,JP3546800008,24682.01,6104.42
TSCO,Tesco Plc,GB00BLGZ9862,23536.26,87178.47
TSLA,Tesla Inc,US88160R1014,854462.54,96773.0
TTEK,Tetra Tech Inc,US88162G1031,7934.4,4522.55
TMO,Thermo Fisher Scientific Inc,US8835561023,227803.48,42857.0
8766,Tokio Marine Holdings Inc,JP3910660004,39083.59,46882.7
8035,Tokyo Electron Ltd,JP3571400005,52565.88,12121.44
BLD,Topbuild Corp,US89055F1030,6526.41,5194.69
TTE,Totalenergies Se,FR0000120271,131858.66,218987.0
6201,Toyota Industries Corp,JP3634600005,19036.55,25382.82
7203,Toyota Motor Corp,JP3633400001,257783.35,298613.49
TT,Trane Technologies Plc,IE00BK9ZQ967,33177.77,17677.6
4704,Trend Micro Inc,JP3637300009,7722.76,1768.95
UBSG,Ubs Group Ag-Reg,CH0244767585,53453.41,71580.95
UCB,Ucb Sa,BE0003739530,15980.24,5679.11
URW,Unibail-Rodamco-Westfield,FR0013326246,7354.41,3309.93
8113,Unicharm Corp,JP3951600000,21898.23,6698.98
UCG,Unicredit Spa,IT0005239360,19215.4,50568.07
VWS,Vestas Wind Systems A/S,DK0061539921,22108.05,16632.83
VOD,Vodafone Group Plc,GB00BH4HKS39,40688.03,40511.51
VNA,Vonovia Se,DE000A1ML7J1,24976.69,5329.95
WCN,Waste Connections Inc,CA94106B1013,32767.07,8023.24
WM,Waste Management Inc,US94106L1098,66142.48,20426.0
WES,Wesfarmers Ltd,AU000000WES1,36405.66,29198.28
288,Wh Group Ltd,KYG960071028,9823.7,26236.16
1997,Wharf Real Estate Investment,KYG9593A1040,13557.78,1699.6
WIX,Wix.Com Ltd,IL0011301780,3390.59,1561.67
WKL.NA,Wolters Kluwer,NL0000395903,27657.23,6038.11
XEL,Xcel Energy Inc,US98389B1008,38261.9,14213.0
XYL,Xylem Inc,US98419M1009,15711.29,7367.0
ZS,Zscaler Inc,US98980G1022,21096.4,2167.77
ZURN,Zurich Insurance Group Ag,CH0011075394,64250.01,78240.65
